years,Ene,Feb,Mar,Abr,May,Jun,Jul,Ago,Sep,Oct,Nov,Dic
1986,14.5,17.6,20.4,25.9,26.6,28.7,30.4,30.3,29.1,23.6,17.7,13.1
1987,12.7,16.2,16.9,20.5,26.2,27.6,29.8,30.6,28.7,24,19,16.5
1988,11.7,15.1,19.8,24,26.6,29.1,31.1,30.4,27.6,24.8,21.4,16.6
1989,17.3,15.4,20,23.9,29.2,30.1,30.5,30.4,27.6,23.9,20.5,9.6
1990,17,18.4,20.8,24.5,28.2,31.4,30.1,30.7,28,23.6,20.5,16.2
1991,12.9,17.6,23.1,26.2,27.9,30.5,29.3,31.2,26.4,25.6,16.9,16.8
1992,13,17.7,21.4,22.8,25,30,31.1,30,28.8,24.1,17.9,16.2
1993,14.7,17.4,20,23.7,26,29,30.3,30.7,28.4,23.9,17.2,16.7
1994,15.4,16.7,20.9,24.1,27.1,30.4,31.8,30.1,27.5,24.8,23.2,17.6
1995,14.9,18.1,19.4,24.4,29.3,29.7,31.5,30.1,28.3,23.4,18.8,15.9
1996,14.8,18,17.8,23.9,29.8,31.3,32.5,30.8,29.5,24.9,20.7,16.8
1997,13.9,17.2,20.7,21.8,26.7,30,32,32.4,29.4,24.2,18,14.4
1998,18.6,18,20,24.3,30,32.6,33.1,32.1,29,25.5,21.5,15.7
1999,17,20.6,23.5,27.2,29,31.3,30.8,31.6,28.2,22.8,20.2,14.9
2000,18.3,20.6,23.7,25.1,29.9,30.1,32.2,31,29,23.8,19.4,12.7
2001,14,19.3,19.1,25.2,28.4,31.2,31.4,31.8,28,24.5,21.3,15
2002,16.8,15.9,20.8,26.5,28.8,30.3,29.9,31.2,27.6,25.4,16.9,15.5
2003,13.2,15.8,19.8,24.5,29.8,30.7,30.2,30.6,27,23.8,20.3,14.7
2004,15.3,15.9,21.9,22.9,26.2,29.7,30.4,30.3,27.6,27.1,19.6,14.2
2005,16.8,17.4,20.9,23.7,27,30.3,30.6,30.7,29.9,24.5,20.2,14.9
2006,16.9,16.4,23,27.1,28.1,29.4,30,31,28.1,24.9,20.8,15
2007,12.4,16.9,22.1,23.1,27.2,30.2,29.4,29.4,28.3,24.8,20.4,17.6
2008,14.4,20.3,21.4,25.2,29.3,30.9,28.4,29.5,26.3,23.3,19.4,15.3
2009,16.8,19.6,21.1,23.9,28.4,30.8,32.8,32,28,25.1,19.1,12.5
2010,14.3,13.5,18.7,24,27.9,30.5,29.4,31.1,28.3,24.1,20.1,16.4
