,Jan,Fed,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1983,0.82,1.0,2.43,4.33,9.17,12.55,13.14,10.52,9.06,4.48,2.62,0.82
1984,0.88,1.17,3.26,6.11,9.4,10.02,9.52,9.89,7.78,4.75,2.08,2.14
1985,0.4,1.03,3.72,5.63,10.04,10.81,10.03,10.07,7.8,5.1,2.61,0.64
1986,0.43,1.27,2.55,6.34,8.82,10.35,10.12,9.89,7.89,5.4,2.54,1.2
1987,0.36,1.28,2.25,4.9,8.32,10.08,11.15,9.39,7.98,5.06,1.71,0.9
1988,0.25,1.56,3.05,5.11,8.82,9.85,10.14,9.47,7.94,4.72,1.9,1.11
1989,0.8,1.82,2.48,5.86,9.55,10.77,10.74,9.84,7.46,4.82,2.02,0.53
1990,0.98,1.05,3.67,6.31,9.68,13.08,10.86,9.66,7.0,5.05,1.9,1.38
1991,0.9,1.06,3.91,6.38,10.69,12.03,11.05,10.38,7.6,4.81,1.7,0.66
1992,0.88,1.15,3.08,5.94,8.38,12.45,12.43,10.42,7.98,5.38,1.34,1.97
1993,2.08,2.13,2.98,5.3,7.71,10.84,11.02,10.49,7.41,4.17,2.34,1.85
1994,0.92,1.86,3.97,5.06,10.44,11.35,13.94,10.62,6.72,3.57,2.54,1.66
1995,0.77,1.93,2.65,5.54,10.65,11.23,11.07,10.27,7.62,4.14,2.21,0.72
1996,0.96,2.31,2.45,4.12,8.22,9.41,10.38,9.04,7.67,5.08,2.38,1.0
1997,0.42,0.97,2.94,5.25,8.9,10.67,10.91,10.14,7.96,4.75,2.0,0.51
1998,0.4,0.46,2.0,5.36,8.82,11.84,11.14,9.89,7.89,5.6,2.31,0.95
1999,1.01,2.06,3.08,5.68,9.18,10.88,10.78,10.07,7.69,4.61,2.16,0.7
2000,1.86,2.79,4.92,5.5,11.6,11.56,12.63,9.42,6.81,4.92,2.48,0.75
2001,0.48,1.58,2.51,5.75,9.18,11.5,11.55,10.07,7.7,4.71,2.09,0.7
2002,0.99,0.63,2.65,6.08,9.57,11.75,10.56,10.19,7.58,4.77,1.8,0.72
2003,1.2,2.01,2.01,4.99,7.68,9.64,9.61,9.21,7.88,4.95,2.86,0.28
2004,0.88,0.82,3.38,5.6,9.16,10.95,10.99,9.7,7.4,4.83,1.84,0.66
2005,1.2,1.05,2.51,5.42,8.83,11.16,11.28,9.77,7.95,4.81,2.05,0.86
